,abnormal_returns,t-1~t CAR,t-2~t CAR,t-3~t CAR,t-3~t+1 CAR,t-3~t+2 CAR,t-3~t+3 CAR,t~t+1 CAR,t~t+2 CAR,t~t+3 CAR,FX factor,Electronic Parts and Components Manufacturing,Semi-conductors Manufacturing,Others,Optoelectronic Materials and Components Manufacturing,Computers and Peripheral Equipment Manufacturing ,Building Materials Construction,"Power Generation, Transmission and Distribution Machinery Manufacturing",Textiles Mills,Information and Communications Technology,Medical Materials and Supplies Manufacturing,Other Electronic Parts and Components Manufacturing ,Motor Vehicles Manufacturing,Basic Iron and Steel Manufacturing,Chemical Products Manufacturing,Shipping Business,Food Manufacturing,Plastic Products Manufacturing,Department Industry,Electronic Distribution Industry,Tourist Industry,Electrical Cable Industry,Financial Holdings Industry,Information Services Industry,Rubber Products Manufacturing,Banking Industry,Paper Industry,"Oil, Electricity and Gas Industry",Cement and Cement Products Manufacturing,Insurance Industry,Glass and Glass Products Manufacturing,Securities Industry,Close Price,Turnover ratio％,Foreign trading ratio ,Financing balance(amount),Net buy_sell by foreign capital,Net buy_sell by dealer,Net buy_sell days by foreign capital,Institutional investor transaction rate,Outstanding shares (million),Foreign investor cumulative overbought_oversold ,Financing balance_Short sales balance(amount),Cumulative net buy_sell by investment trust,Short sales use ratio,Financing balance_Short sales balance(ratio),Net Buy_Sell by Investment Trust,Net buy_sell days by dealer,Net buy_sell,Short sales balance(amount),Increased financing(amount),cumulative net buy_sell by dealer,Institutional investor Trading days  ,Institutional investor cumulative overbought_oversold ,common stock trading ratio ,Financing balance(thousand yuan),Financing use ratio,Investment trust Trading days  ,Ratio of Margin Trading , Short Sale _ Margin Purchase Ratio,Short sales balance(thousand yuan),Increased short sales(amount),Ratio of dealer transactions,Investment Trust trading ratio,Cash Flow From Operating Activities ,PB ratio,Quick ratio ,Treasury stocks book value ,Cash and Cash equivalents ,PE ratio ,Loan from bank(non-current),Operating margin ratio,Other equity interest ,AR,Goodwill and intangible assets ,Other Comprehensive Income (OCI),Inventory,Dividend Payout Ratio,ROE,Cash Flow from Financing Activities ,Interest income ,cash flow ratio,Gross Profit ratio,Cost of revenue,Market Value,(Inventory+AR) divided by Net income,Operating expenses,Tax rate(A),AR turnover,cash dividend ratio ,Dividend Yield ,Non-current assets ,Asset Growth Rate,ROA,Profit before tax ratio,Other long-term debt (Non-current),R&D,lease liabilities (Non current),Non-current liability ,Operating income,Cash Flow From Investing Activities ,retained earning ,AP,current ratio,current liability ,debt ratio ,Profit after tax ratio,Operating revenue(net),current asset,Interest-bearing debt ratio ,effect of exchange rates ,Proportion of supervisors with doctoral degrees,Number of general manager changes in the month,Average attendance of Chairman of the Board,Employee turnover rate,Percentage of directors and supervisors with masters degrees,Directors average hours of study,Number of changes in chairmanship for the month,Reinvestment to net value ratio,Number of directors and supervisors with financial experience,Sales percentage to related parties,equity of stock holdings (Major shareholder),Average attendance of the Board of Directors,Employee bonus cash,tockholding of Directors and Supervisors,Directors liability insurance coverage to revenue percentage,Managers shareholding,Reinvestment to assets ratio,Directors liability insurance coverage to net value percentage,Percentage of directors and supervisors with a bachelors degree,Employee bonus to net income before tax ratio,Total social responsibility events,Number of Underwriting Insurance Companies,Management Internalization ratio,Number of Board Meetings,Directors liability insurance coverage to total assets percentage,Employee bonus shares,Directors salary,Internal audit variation in the current month,Directors liability insurance coverage,company age,A,F,G,M
1101,0.0014504945766165,0.0084619954883079,0.0047330554045939,0.0110588694218302,0.0221333047790888,0.0269496659888642,0.0230722052269169,0.0125249299338751,0.0173412911436505,0.0134638303817032,0.0005930664225841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.65,0.33,35.49,12439.0,4286.0,371.0,7.0,39.13,5466.0,33124.0,1.0,-641.0,0.04,0.01,-640.0,3.0,4017.0,483.0,267.0,807.0,7.0,25985.0,60.84,493513.59,0.91,-2.0,0.03,3.88,19162.88,0.0,1.59,2.05,29212549,1.23,161.88,-348959,53572620,7.15,30553035,24.56,23734855,40396720,19656118,5024759,8132977,56.35,15.02,-11641346,815805,43.91,29.25,86872759,238847550,23.28,5753534,22.0,3.12,5.71,6.85,249336395,6.8,8.57,26.58,11800966,40748,2073806,92487775,30156721,-11465585,65626033,7427013,177.58,66532743,43.27,20.73,122783014,118145990,1.57,-1040887,26.32,0,100,2,68.42,8.05,0,123.78,4,13,13.42,82.46,86.41,14.31,0.73,0.04,82.99,0.43,68.42,0.36,0,3,3.13,9,0.24,0,245.43,0,899.4,56.0,0,1,0,0
1102,-0.0023813709697434,-0.0007930443602731,-0.0046252175536087,-0.0071729234756554,0.0041111502791458,0.0079632063187021,0.0042241689040308,0.0089027027850578,0.012754758824614,0.0090157214099428,0.001123767482667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.25,0.24,49.61,5628.0,-30.0,96.0,-3.0,53.35,3361.0,-1427.0,3.0,-299.0,0.02,0.05,-299.0,4.0,-233.0,154.0,0.0,379.0,-3.0,-1078.0,46.56,242826.81,0.67,-1.0,0.08,2.74,6644.51,0.0,1.14,2.61,37271901,1.1,106.36,0,24735495,5.95,20820990,23.22,2432477,22122290,7000317,-617304,7789794,57.76,13.17,-11162962,1126001,50.14,26.95,69398312,161181384,17.65,3523141,21.66,4.2,6.26,6.26,208036446,6.48,7.5,29.89,0,0,1264765,53493855,22063176,-15466372,108564355,13523769,120.05,74335619,43.0,23.41,94999021,89242066,1.88,-836483,40.0,0,100,9,26.67,6.4,0,126.75,2,32,12.34,96.67,189.83,29.01,0.34,0.07,90.78,0.18,26.67,1.05,0,2,0,6,0.1,0,166.1,0,305.55,56.0,0,1,0,0
1103,-0.0072345720008255,0.0025479644768242,0.0112910824373912,0.0192389035239453,0.0142089587015088,0.01765911086617,0.0330441844985283,-0.0122645168232619,-0.0088143646586007,0.0065707089737575,-0.0010923027995363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.4,0.1,9.96,3694.0,64.0,0.0,1.0,9.96,775.0,64.0,0.0,0.0,0.04,0.0,0.0,0.0,64.0,74.0,0.0,0.0,1.0,64.0,89.93,67739.46,1.91,0.0,0.11,2.0,1356.99,0.0,0.0,0.0,-169188,0.76,283.66,-1096783,2066897,346.95,7553594,-23.08,4654268,231606,5518,3141141,44910,59.48,20.4,1072611,118357,-4.57,10.54,1685405,17316333,1.17,633383,16.97,7.01,4.46,4.46,28063030,21.06,12.87,52.32,441549,0,1737410,11343949,-434786,-742176,10660775,197024,288.01,3700460,38.85,74.77,1884002,10657604,1.63,-64013,28.57,0,100,11,42.86,9.71,0,106.82,0,15,31.43,84.21,15.63,17.11,10.51,0.0,79.98,0.84,42.86,1.13,0,1,25,11,0.51,0,4.26,0,198,49.0,0,1,0,0
1104,0.0037260485092547,0.0140903316961542,0.0264893677730731,0.0331014776843087,0.0382524793749648,0.044874203270182,0.0464468015357974,0.0088770501999108,0.015498774095128,0.0170713723607434,0.0003965844735121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.65,0.03,9.26,964.0,5.0,0.0,1.0,9.26,654.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,5.0,90.66,17952.67,0.59,0.0,0.08,0.31,55.87,0.0,0.0,0.0,749879,0.71,103.16,0,250642,10.69,0,3.41,392291,1274342,7854,-183256,264170,57.56,5.33,-359379,1854,19.57,11.72,4418966,12810736,8.5,415870,4.75,4.02,5.1,5.1,19134671,3.66,4.17,23.95,0,68691,182939,1467033,170895,-409284,11013644,654343,111.36,3831854,22.64,22.81,5005731,4267262,1.02,0,36.36,0,100,26,18.18,1.36,0,68.13,1,3,18.3,92.73,20.86,24.13,0.62,0.0,54.64,0.17,18.18,1.76,0,1,37.5,5,0.13,0,20.86,0,30.93,47.0,0,1,0,0
1108,0.0051027693187937,0.008468471623506,0.0136585335021344,0.0216370898001865,0.0305702492571239,0.0330539369634289,0.0350661268698207,0.0140359287757311,0.0165196164820361,0.0185318063884279,-0.0016399379644026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.08,0.02,0.54,941.0,1.0,0.0,1.0,0.54,405.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,99.27,6651.55,0.93,0.0,0.19,0.0,0.0,0.0,0.0,0.0,262747,0.78,84.45,0,233426,67.52,1170000,2.09,4006,913303,0,48035,3516072,132.25,2.2,-361234,2072,16.25,8.01,3432815,3391704,102.51,225119,14.86,4.94,1.79,1.79,2241729,0.49,1.28,1.44,45800,0,80289,1390809,77882,133281,269466,396381,314.58,1617131,41.04,1.23,3731696,5087148,1.75,-170,14.29,0,100,10,28.57,9.64,0,64.25,0,22,49.39,97.96,1.54,3.95,1.3,0.01,42.94,1.13,28.57,3.26,1,1,40.0,7,0.66,0,2.57,0,48.63,28.0,0,1,0,0
1109,0.0007524755932261,0.0179712546221449,0.0140667877046701,0.0129599211233699,0.0144188937846255,0.0224632266013825,0.0254597355456317,0.0022114482544817,0.0102557810712387,0.0132522900154879,-0.0012693411441353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.55,0.12,12.39,2401.0,-14.0,0.0,-4.0,12.39,342.0,-74.0,4.0,0.0,0.06,1.71,0.0,0.0,-14.0,53.0,0.0,0.0,-4.0,-196.0,85.68,42031.91,2.81,0.0,1.93,2.21,927.82,1.0,0.0,0.0,2138329,1.01,212.68,0,874572,3.32,0,26.42,-231848,2531546,51243,-171537,830282,39.03,15.77,-704167,8098,94.75,33.29,5218440,6873336,38.95,537954,30.17,3.04,5.47,5.47,5508189,10.02,12.05,26.7,72000,0,18263,304447,2066501,-1067202,3608235,1024036,251.83,2256725,22.89,18.65,7822895,5683105,4.66,-44692,0,0,100,10,22.22,0.0,0,78.61,1,6,22.21,88.89,21.75,41.75,1.15,0.04,72.97,1.04,22.22,2.13,0,1,12.5,5,0.8,0,43.5,0,90,27.0,0,1,0,0
1110,0.0032276990865784,-0.0108396658253021,0.0025007952140848,0.0127415685739423,0.015034831172201,0.0099485409362474,0.0126083780444425,0.0055209616848371,0.0004346714488835,0.0030945085570786,0.0012878599969887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.9,0.0,28.13,1247.0,5.0,0.0,1.0,28.13,572.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,5.0,71.75,21078.04,0.87,0.0,0.12,0.0,0.0,0.0,0.0,0.0,177772,1.17,133.59,-12185,207931,498.97,0,-0.54,514103,397060,58,64507,650957,172.64,1.14,59895,11474,26.87,5.19,1502651,9981400,12.23,90798,22.95,4.06,0.57,0.57,7714156,5.33,1.03,2.72,0,0,183058,507709,-8509,-244238,2114087,204596,306.23,661655,12.01,2.1,1584940,2026192,0.9,0,0,0,100,1,40,6.3,0,89.87,1,8,35.76,97.5,0.91,33.56,5.86,0.01,79.58,1.08,40,2.11,0,1,0,4,0.95,0,1.37,0,92.94,24.0,0,1,0,0
1201,0.0016563588694912,0.016332509004013,0.0195797659904118,0.0357768717752624,0.0404245083624971,0.0362191671918162,0.0287945108508132,0.0063039954567259,0.0020986542860449,-0.005326002054958,0.0018605952858263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.42,21.63,15929.0,-122.0,-52.0,-23.0,23.05,506.0,-8322.0,4.0,0.0,0.53,0.22,0.0,-4.0,-174.0,675.0,0.0,-97.0,-20.0,-8310.0,76.61,401345.49,12.59,0.0,0.34,4.24,17007.23,0.0,1.42,0.0,1428433,1.83,68.42,0,2221758,22.82,3130080,2.69,-302706,2664153,149594,-201553,1266774,50.0,17.49,-2725798,44720,19.59,30.27,14105933,12676853,56.61,5577580,21.9,7.29,5.32,5.32,12560429,-10.1,5.7,8.55,0,235496,154431,4862697,544606,574713,2141842,1574378,89.66,7290451,63.64,6.68,20228119,6536514,2.5,-45165,11.11,0,100,10,44.44,10,0,76.16,4,1,34.13,92.59,22.01,14.55,3.05,0.01,38.09,8.89,44.44,1.41,1,2,0,9,3.23,0,6.81,0,617.4,56.0,0,1,0,0
1203,0.0113324518903979,0.0118997696529464,0.0281886900024678,0.0355063948972936,0.0449202620096375,0.0521510675028992,0.0602202210286997,0.0207463190027418,0.0279771244960034,0.036046278021804,0.0020072242961824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65,0.02,19.74,266.0,15.0,0.0,1.0,19.74,240.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,15.0,80.26,7078.93,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445126,1.3,147.94,-38464,1517644,6.85,0,14.61,205275,510713,59804,108232,1654997,52.53,13.65,-345719,39786,25.65,31.31,4343282,6492000,34.84,1056425,24.83,12.93,3.7,3.7,5090285,4.43,8.95,15.09,0,8859,58834,1474274,923530,156296,2317751,444556,249.82,1735178,34.05,11.35,6323237,4334741,1.56,77382,6.67,0,100,8,40.0,1.53,0,94.15,1,0,33.92,66.67,11.16,28.46,1.47,0,70.29,1.5,40.0,2.11,0,1,20.0,4,0.99,0,16.74,0,93.03,54.0,0,1,0,0
1210,0.0073261448566848,0.0247813785861901,0.0310046281820706,0.0273370714023735,0.0351797221770526,0.0365912497593458,0.0501276463216939,0.0151687956313639,0.0165803232136571,0.0301167197760051,0.0002197923803484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,0.17,25.77,2971.0,-316.0,1.0,-7.0,26.13,827.0,-2401.0,4.0,0.0,0.01,0.32,0.0,1.0,-315.0,22.0,0.0,1.0,-7.0,-2514.0,73.52,111968.08,1.51,0.0,0.34,0.74,829.11,0.0,0.36,0.0,5384159,1.98,46.12,-219132,2942742,8.89,1510446,4.78,902128,6010061,162079,-91653,7952693,79.71,12.38,-675763,90439,26.69,15.08,66038732,36113347,57.4,8010040,22.8,12.81,5.04,5.04,26013877,11.23,6.42,4.95,0,166024,974240,2803762,3721214,-4777791,6259370,4426281,105.52,20172456,48.57,3.82,77769986,21286860,2.88,32316,10,0,100,4,60,6.9,0,65.97,0,17,24.81,91.67,75,12.69,0.81,0.02,44.69,2.59,60,2.8,0,1,11.11,6,1.33,0,35,0,631.2,40.0,0,1,0,0
