,abnormal_returns,t-1~t CAR,t-2~t CAR,t-3~t CAR,t-3~t+1 CAR,t-3~t+2 CAR,t-3~t+3 CAR,t~t+1 CAR,t~t+2 CAR,t~t+3 CAR,FX factor,Electronic Parts and Components Manufacturing,Semi-conductors Manufacturing,Others,Optoelectronic Materials and Components Manufacturing,Computers and Peripheral Equipment Manufacturing ,Building Materials Construction,"Power Generation, Transmission and Distribution Machinery Manufacturing",Textiles Mills,Information and Communications Technology,Medical Materials and Supplies Manufacturing,Other Electronic Parts and Components Manufacturing ,Motor Vehicles Manufacturing,Basic Iron and Steel Manufacturing,Chemical Products Manufacturing,Shipping Business,Food Manufacturing,Plastic Products Manufacturing,Department Industry,Electronic Distribution Industry,Tourist Industry,Electrical Cable Industry,Financial Holdings Industry,Information Services Industry,Rubber Products Manufacturing,Banking Industry,Paper Industry,"Oil, Electricity and Gas Industry",Cement and Cement Products Manufacturing,Insurance Industry,Glass and Glass Products Manufacturing,Securities Industry,Renewable energy usage rate of listed companies,Greenhouse gas emission intensity,Close Price,Turnover ratio％,Foreign trading ratio ,Financing balance(amount),Net buy_sell by foreign capital,Net buy_sell by dealer,Net buy_sell days by foreign capital,Institutional investor transaction rate,Outstanding shares (million),Foreign investor cumulative overbought_oversold ,Financing balance_Short sales balance(amount),Cumulative net buy_sell by investment trust,Short sales use ratio,Financing balance_Short sales balance(ratio),Net Buy_Sell by Investment Trust,Net buy_sell days by dealer,Net buy_sell,Short sales balance(amount),Increased financing(amount),cumulative net buy_sell by dealer,Institutional investor Trading days  ,Institutional investor cumulative overbought_oversold ,common stock trading ratio ,Financing balance(thousand yuan),Financing use ratio,Investment trust Trading days  ,Ratio of Margin Trading , Short Sale _ Margin Purchase Ratio,Short sales balance(thousand yuan),Increased short sales(amount),Ratio of dealer transactions,Investment Trust trading ratio,Cash Flow From Operating Activities ,PB ratio,Quick ratio ,Treasury stocks book value ,Cash and Cash equivalents ,PE ratio ,Loan from bank(non-current),Operating margin ratio,Other equity interest ,AR,Goodwill and intangible assets ,Other Comprehensive Income (OCI),Inventory,Dividend Payout Ratio,ROE,Cash Flow from Financing Activities ,Interest income ,cash flow ratio,Gross Profit ratio,Cost of revenue,Market Value,(Inventory+AR) divided by Net income,Operating expenses,Tax rate(A),AR turnover,cash dividend ratio ,Dividend Yield ,Non-current assets ,Asset Growth Rate,ROA,Profit before tax ratio,Other long-term debt (Non-current),R&D,lease liabilities (Non current),Non-current liability ,Operating income,Cash Flow From Investing Activities ,retained earning ,AP,current ratio,current liability ,debt ratio ,Profit after tax ratio,Operating revenue(net),current asset,Interest-bearing debt ratio ,effect of exchange rates ,Proportion of supervisors with doctoral degrees,Number of general manager changes in the month,Average attendance of Chairman of the Board,Employee turnover rate,Percentage of directors and supervisors with masters degrees,Directors average hours of study,Number of changes in chairmanship for the month,Reinvestment to net value ratio,Number of directors and supervisors with financial experience,Sales percentage to related parties,equity of stock holdings (Major shareholder),Average attendance of the Board of Directors,Employee bonus cash,tockholding of Directors and Supervisors,Directors liability insurance coverage to revenue percentage,Managers shareholding,Reinvestment to assets ratio,Directors liability insurance coverage to net value percentage,Percentage of directors and supervisors with a bachelors degree,Employee bonus to net income before tax ratio,Total social responsibility events,Number of Underwriting Insurance Companies,Management Internalization ratio,Number of Board Meetings,Directors liability insurance coverage to total assets percentage,Employee bonus shares,Directors salary,Internal audit variation in the current month,Directors liability insurance coverage,company age,A,F,G,M
1101,0.028504137130124,0.0147423983114926,0.0196550945970405,0.0624055621795167,0.011759078656063,0.0051287366551072,0.0078404840112967,-0.0221423463933296,-0.0287726883942853,-0.0260609410380959,0.0085574134595092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0051,0.807,47.9,1.01,25.82,15677.0,-977.0,1196.0,-4.0,30.33,6058.0,-14790.0,36.0,3201.0,0.02,0.07,1178.0,1.0,1397.0,260.0,0.0,1196.0,1.0,1397.0,69.57,753938.28,1.04,5.0,0.1,1.66,12503.92,0.0,3.4,1.11,12363345,1.44,156.68,-392343,63835177,9.15,21578225,22.49,12721098,32778256,19327466,-7146768,9050183,30.19,2.16,-3957547,766934,17.34,28.25,35889688,312302580,18.14,2882291,21.62,2.78,6.59,6.59,253891725,0.86,1.25,29.29,4992007,0,2196179,85959982,11251385,7813614,85987152,7329827,187.77,71317037,40.56,24.0,50023364,133913872,0.56,-559108,33.33,0,100,0,60.0,8.13,0,42.09,5,2,12.9,96.19,106.91,13.56,1.29,0.08,25.02,0.61,60.0,0.54,0,6,3.33,13,0.31,0,210.45,0,1384.0,58.0,0,1,0,0
1102,0.0060311656911699,-0.0216498631517767,-0.0125972268146561,0.0223159922811983,-0.0153186924932395,-0.0090745817742626,-0.006912676494858,-0.031603519083268,-0.0253594083642911,-0.0231975030848865,0.0086718490548709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.852,48.45,0.63,40.42,4114.0,-776.0,1239.0,-3.0,48.02,3367.0,-9493.0,0.0,452.0,0.01,0.0,10.0,11.0,474.0,43.0,0.0,11908.0,1.0,474.0,51.96,197454.72,0.49,4.0,0.02,1.05,2063.82,8.0,7.56,0.03,6949572,1.21,119.0,0,34503951,6.48,15395009,21.1,-93068,15455339,7035168,-1454446,7039445,80.0,4.64,4314270,393752,9.3,24.7,32225928,171849779,13.65,1540062,20.2,5.35,6.94,6.94,208944679,3.67,2.57,26.98,0,0,1175760,67598100,9030439,-2287096,107357067,9456234,131.35,74759340,46.35,21.53,42796429,98193043,0.43,-384527,42.86,0,100,6,28.57,5.79,0,81.44,2,4,12.99,96.94,185.11,28.82,0.31,0.07,43.69,0.15,28.57,1.19,0,2,0,7,0.09,0,161.97,0,279.25,58.0,0,1,0,0
1103,0.0742380266301908,0.0733418517740663,0.1287046202902549,0.1980385355756579,0.1131127387941095,0.1075512308797112,0.1298499170486151,-0.0106877701513575,-0.0162492780657558,0.0060494081031479,0.0169010263599837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0027,19.75,0.64,34.77,3134.0,-97.0,7.0,-3.0,34.86,775.0,-1786.0,0.0,0.0,0.0,0.0,0.0,1.0,-90.0,6.0,0.0,7.0,-3.0,-1839.0,65.1,62576.26,1.62,0.0,0.04,0.19,119.8,0.0,0.09,0.0,-236614,0.66,427.55,-1098762,3084908,11.44,8216340,-27.07,7162456,225066,9061,2313912,12685,76.41,7.84,-648382,28083,-8.97,-0.92,1104949,17355072,0.88,286366,0.0,8.98,6.22,6.22,30110487,9.9,4.96,-25.75,0,0,1665467,11895217,-296401,693613,11364156,202108,433.65,2637230,34.98,-25.08,1094914,11436348,0.63,-99690,28.57,0,100,9,57.14,15.0,0,83.11,0,2,30.64,95.24,9.66,17.11,8.92,0.02,54.04,0.76,57.14,1.43,0,1,25,9,0.49,0,9.66,0,198,51.0,0,1,0,0
1104,0.069483706688438,0.0602472261035865,0.0983114194346357,0.1617857260267703,0.0959542431600155,0.0876287329376138,0.1069145634640978,0.0036522238216832,-0.0046732864007184,0.0146125441257655,0.0076644993642543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0095,20.75,0.62,28.77,3498.0,-1089.0,10.0,-3.0,28.93,654.0,-3005.0,1.0,0.0,0.03,0.03,0.0,2.0,-1079.0,41.0,0.0,11.0,-3.0,-3191.0,70.95,73052.93,2.14,0.0,0.12,1.17,856.25,23.0,0.16,0.0,375869,0.8,129.15,0,311471,10.33,0,10.43,512298,1413292,9049,-26232,302061,60.07,2.74,-171896,408,10.17,17.98,2382658,15261770,8.89,219417,7.72,4.11,4.71,4.71,19328198,5.22,2.15,20.44,0,39953,233558,1479123,302936,-187167,12047776,693519,139.38,3695289,21.14,18.86,2905011,5150354,0.46,0,28.57,0,100,8,42.86,8.14,0,62.73,1,2,27.84,100.0,20.86,24.16,1.37,0.0,49.47,0.43,42.86,1.74,0,1,33.33,9,0.33,0,20.86,0,82.98,49.0,0,1,0,0
1108,0.094539361616211,0.0775972413962514,0.1616460099268484,0.267983714496798,0.2060207144852045,0.1524813655636193,0.2039415341408319,0.0325763616046175,-0.0209629873169676,0.0304971812602449,0.0146777520350098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.52,12.7,0.72,25.92,5157.0,240.0,1.0,5.0,25.94,405.0,1520.0,1.0,0.0,0.06,0.04,0.0,2.0,241.0,61.0,0.0,2.0,5.0,1523.0,73.88,66475.79,5.1,0.0,0.18,1.18,786.31,0.0,0.02,0.0,200224,1.23,54.2,0,306452,15.54,690000,8.61,8319,900544,0,17024,3451394,92.62,3.29,-34399,1073,7.85,13.75,1788957,5544911,96.18,118686,23.12,4.2,5.11,5.11,2965865,6.12,1.88,8.4,45800,0,127351,949980,178649,-178258,468826,486668,198.33,2551390,43.63,6.46,2074215,5060113,0.74,-1650,28.57,0,100,17,28.57,6.29,0,5.6,1,2,50.96,100.0,9.97,3.95,1.72,0.01,3.15,1.4,28.57,3.26,0,1,28.57,7,0.81,0,16.62,0,64.84,30.0,0,1,0,0
1109,0.0567062429848122,0.0570383361853668,0.089542159462881,0.1333706136723037,0.051148692833334,0.0458026940948416,0.0723830416156948,-0.0255156778541575,-0.0308616765926499,-0.0042813290717967,0.0176326069241276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.7,1.04,38.79,1062.0,705.0,2.0,2.0,38.84,342.0,753.0,0.0,0.0,0.06,0.0,0.0,1.0,707.0,54.0,0.0,2.0,2.0,755.0,61.1,25446.26,1.24,0.0,0.05,5.08,1293.88,8.0,0.05,0.0,650095,1.13,338.24,0,2610350,3.91,0,26.74,-228129,1746617,9480,-78929,825739,59.45,5.78,-313464,10299,39.49,32.88,2481991,8890882,26.41,226828,38.59,3.87,5.77,5.77,5042322,8.26,4.79,28.03,0,0,15283,103343,988913,34345,4677020,923492,391.61,1646057,15.23,17.21,3697732,6446123,0.0,-37138,0,0,100,6,11.11,2.33,0,19.34,2,0,14.45,94.44,21.42,41.75,1.22,0.05,16.4,0.91,11.11,2.13,0,1,12.5,6,0.77,0,42.85,0,90,29.0,0,1,0,0
1110,0.0560226993619508,0.0576681500154993,0.0147175358831233,0.1188803534967865,0.0170686891048668,0.0329436191713876,0.0559499031211564,-0.0457889650299689,-0.0299140349634481,-0.0069077510136793,-0.0006350087142969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.034,15.0,0.09,16.02,2042.0,14.0,2.0,1.0,16.32,572.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,1.0,23.0,3.0,1.0,16.0,83.54,29835.46,1.43,0.0,0.14,0.05,14.61,0.0,0.3,0.0,171917,1.04,53.31,-12185,208527,188.54,0,2.93,557420,299076,6,56861,880197,81.72,1.12,807621,1937,12.07,8.51,855505,8923200,13.59,52173,25.87,5.22,0.64,0.64,8862838,11.51,0.94,5.71,0,0,267848,595900,27441,-947754,2136497,141568,128.6,1424493,18.89,4.23,935119,1831939,0.54,0,0,0,100,14,40,6.0,0,83.19,1,8,35.6,97.5,3.26,34.7,4.53,0.01,67.47,0.96,40,2.11,0,1,0,8,0.76,0,4.89,0,83.67,26.0,0,1,0,0
1201,-0.0621113177860013,-0.0366034433946557,-0.0700124843773465,0.019564180437214,0.0407600282498922,0.0444882642303701,0.0761545416741766,-0.0409154699733231,-0.0371872339928451,-0.0055209565490386,0.0053833512961145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,22.25,3.71,20.74,5478.0,-1741.0,0.0,-3.0,20.74,506.0,-3814.0,31.0,0.0,0.04,0.19,0.0,0.0,-1741.0,46.0,405.0,0.0,-5.0,-4663.0,79.02,121263.2,4.33,0.0,0.23,0.84,1018.27,42.0,0.0,0.0,37631,1.61,72.01,0,1860115,13.76,4049997,3.12,-301786,2789777,167547,-49321,1656676,50.01,1.98,319655,11284,0.57,29.33,6582018,10829727,66.15,2441834,31.66,7.03,2.48,2.48,12163290,2.79,0.73,2.89,0,113670,280129,5685112,290152,-408340,1918851,1884280,103.67,6650867,64.73,1.98,9314004,6894938,0.99,5738,11.11,0,100,11,66.67,8,0,2.89,4,6,32.01,92.81,5.56,14.55,2.88,0.01,1.02,8.1,66.67,1.02,0,2,0,17,3.18,0,5.45,0,571.5,58.0,0,1,0,0
1203,-0.0998119908142601,-0.0424750756208658,-0.1182786724506665,-0.0642256194923742,-0.0474073576714359,-0.0094797980725826,0.0107728823822086,-0.0829937289933217,-0.0450661693944684,-0.0248134889396771,0.0053148695374986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.132,37.95,0.7,11.0,230.0,124.0,1.0,1.0,11.04,240.0,124.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,108.0,1.0,1.0,125.0,88.87,8662.33,0.38,0.0,0.08,0.0,0.0,0.0,0.04,0.0,217262,1.55,121.22,-38464,1018650,8.62,0,15.47,27033,499534,56703,-156938,1601899,58.94,3.7,-316816,6908,13.13,33.55,1968708,8292000,33.59,535461,21.4,12.67,3.18,3.18,5035247,-0.18,2.49,16.72,0,4795,77061,1415037,458372,-306814,2751377,435395,259.38,1654132,32.91,13.14,2962541,4290538,0.74,-144017,6.67,0,100,6,26.67,1.2,0,29.56,1,0,37.45,72.04,10.95,28.63,1.44,0,19.83,1.34,26.67,2.11,0,1,20.0,6,0.87,0,16.42,0,83.61,56.0,0,1,0,0
1210,0.0308063816220992,0.0274222515398841,0.0074297109131175,0.0767472489932507,0.0268597758652436,0.03938988569431,0.0390459310786585,-0.0190810915059079,-0.0065509816768415,-0.006894936292493,0.004606203894524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0.91,26.57,2927.0,-1978.0,-28.0,-5.0,28.03,827.0,-5836.0,6.0,0.0,0.02,0.09,0.0,-2.0,-2006.0,33.0,33.0,-54.0,-5.0,-6121.0,71.86,162419.52,1.42,0.0,0.12,1.13,1831.17,1.0,1.46,0.0,394969,2.56,47.89,-219132,4699708,10.82,1507165,2.65,1645690,7000371,158474,137933,8169021,68.38,5.29,1909880,40845,1.57,11.26,44153162,49723074,56.32,4284075,21.33,14.93,4.49,4.99,29429385,11.1,2.72,3.35,0,63111,929736,2803597,1317277,-1855552,6268710,5442323,101.22,25196885,50.97,2.64,49754514,25503990,0.87,-238075,10,0,100,11,60,6.6,0,20.46,0,1,23.9,96.67,90,12.98,0.55,0.01,10.03,1.99,60,3.96,0,1,18.18,6,0.97,0,40,0,552.9,42.0,0,1,0,0
