,abnormal_returns,t-1~t CAR,t-2~t CAR,t-3~t CAR,t-3~t+1 CAR,t-3~t+2 CAR,t-3~t+3 CAR,t~t+1 CAR,t~t+2 CAR,t~t+3 CAR,FX factor,Electronic Parts and Components Manufacturing,Semi-conductors Manufacturing,Others,Optoelectronic Materials and Components Manufacturing,Computers and Peripheral Equipment Manufacturing ,Building Materials Construction,"Power Generation, Transmission and Distribution Machinery Manufacturing",Textiles Mills,Information and Communications Technology,Medical Materials and Supplies Manufacturing,Other Electronic Parts and Components Manufacturing ,Motor Vehicles Manufacturing,Basic Iron and Steel Manufacturing,Chemical Products Manufacturing,Shipping Business,Food Manufacturing,Plastic Products Manufacturing,Department Industry,Electronic Distribution Industry,Tourist Industry,Electrical Cable Industry,Financial Holdings Industry,Information Services Industry,Rubber Products Manufacturing,Banking Industry,Paper Industry,"Oil, Electricity and Gas Industry",Cement and Cement Products Manufacturing,Insurance Industry,Glass and Glass Products Manufacturing,Securities Industry,Close Price,Turnover ratio％,Foreign trading ratio ,Financing balance(amount),Net buy_sell by foreign capital,Net buy_sell by dealer,Net buy_sell days by foreign capital,Institutional investor transaction rate,Outstanding shares (million),Foreign investor cumulative overbought_oversold ,Financing balance_Short sales balance(amount),Cumulative net buy_sell by investment trust,Short sales use ratio,Financing balance_Short sales balance(ratio),Net Buy_Sell by Investment Trust,Net buy_sell days by dealer,Net buy_sell,Short sales balance(amount),Increased financing(amount),cumulative net buy_sell by dealer,Institutional investor Trading days  ,Institutional investor cumulative overbought_oversold ,common stock trading ratio ,Financing balance(thousand yuan),Financing use ratio,Investment trust Trading days  ,Ratio of Margin Trading , Short Sale _ Margin Purchase Ratio,Short sales balance(thousand yuan),Increased short sales(amount),Ratio of dealer transactions,Investment Trust trading ratio,Cash Flow From Operating Activities ,PB ratio,Quick ratio ,Treasury stocks book value ,Cash and Cash equivalents ,PE ratio ,Loan from bank(non-current),Operating margin ratio,Other equity interest ,AR,Goodwill and intangible assets ,Other Comprehensive Income (OCI),Inventory,ROE,Cash Flow from Financing Activities ,Interest income ,cash flow ratio,Gross Profit ratio,Cost of revenue,Market Value,(Inventory+AR) divided by Net income,Operating expenses,Tax rate(A),AR turnover,cash dividend ratio ,Dividend Yield ,Non-current assets ,Asset Growth Rate,ROA,Profit before tax ratio,Other long-term debt (Non-current),R&D,lease liabilities (Non current),Non-current liability ,Operating income,Cash Flow From Investing Activities ,retained earning ,AP,current ratio,current liability ,debt ratio ,Profit after tax ratio,Operating revenue(net),current asset,Interest-bearing debt ratio ,effect of exchange rates ,Number of general manager changes in the month,Employee turnover rate,Number of changes in chairmanship for the month,Reinvestment to net value ratio,Sales percentage to related parties,equity of stock holdings (Major shareholder),tockholding of Directors and Supervisors,Managers shareholding,Reinvestment to assets ratio,Total social responsibility events,Management Internalization ratio,Directors salary,Internal audit variation in the current month,company age,A,F,G,M
1101,0.0127346163433915,0.0106719904835433,0.0108794606650355,0.0214953909006247,0.0370759719401441,0.0503418124044292,0.0816697068845714,0.0283151973829108,0.0415810378471959,0.0729089323273382,0.0005256480274718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.1,0.26,40.03,5797.0,-7128.0,188.0,-2.0,44.42,6125.0,-8065.0,0.0,2497.0,0.01,0.0,866.0,1.0,-6074.0,171.0,0.0,188.0,-2.0,-6451.0,55.58,261725.27,0.38,3.0,0.0,2.95,7720.38,0.0,1.47,2.91,1999120,1.21,181.69,-200808,100497555,19.54,24965582,-3.74,11686482,29399946,27738042,776089,18318975,0.31,6735825,799160,2.3,4.38,46044635,241946743,21.79,3906715,0.0,2.95,2.53,5.06,270059750,16.62,0.15,1.53,15004165,270352,3437272,146453922,-1800056,-659489,62765381,13304491,209.78,86861356,51.59,-0.17,48151294,182214459,0.61,1300157,0,0,0,38.28,2,14.64,8.38,0.07,18.53,0,3.13,0.0,0,59.0,0,1,0,0
1102,0.0071740373149433,0.0071803530993223,0.0107989448168933,0.0218393965141383,0.0378097691819251,0.0449087182102721,0.0665614902788662,0.0231444099827301,0.0302433590110771,0.0518961310796712,0.0003173540096355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.2,0.18,50.42,1068.0,-2444.0,261.0,-2.0,70.02,3546.0,-2920.0,0.0,1562.0,0.0,0.0,1464.0,14.0,-720.0,2.0,0.0,5637.0,-2.0,-997.0,29.98,50210.52,0.12,2.0,0.0,0.19,94.03,0.0,3.98,15.62,5677002,1.0,128.37,0,48922235,8.02,8592984,12.23,3309388,13993829,6954898,3327257,8966932,6.01,1032665,355612,7.01,15.86,37823270,155311603,12.89,1631851,17.77,5.67,7.76,7.76,210682472,6.27,3.35,20.14,0,0,1356110,67297053,5495357,7492357,109958220,9981490,142.81,81017768,45.44,16.56,44950478,115705226,0.43,1269593,0,0,0,77.51,4,14.97,27.37,0.08,42.29,0,0,0.0,0,59.0,0,1,0,0
1103,0.0095053910330098,0.0180989585552832,0.0224921423855457,0.0224929848674233,0.0457412707978951,0.052784621487806,0.0818392379882251,0.0327536769634816,0.0397970276533925,0.0688516441538116,0.0009135198716853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.55,0.09,18.15,2051.0,-146.0,1.0,-7.0,18.24,775.0,-682.0,0.0,0.0,0.0,0.0,0.0,1.0,-145.0,7.0,8.0,1.0,-7.0,-698.0,81.74,39907.33,1.06,0.0,0.02,0.34,136.2,0.0,0.09,0.0,-114120,0.65,272.58,-1077950,3391769,22.2,7199965,-20.95,3492775,196849,7071,-2581077,157208,-12.77,23148,25340,-3.04,1.08,1016217,14023518,1.59,226346,0.0,9.64,3.58,3.58,26232854,-11.6,-8.0,-45.78,0,0,1508429,10697903,-215200,-261960,10253581,286092,279.75,3751313,39.34,-48.33,1027363,10494246,0.67,59354,0,0,0,87.83,3,30.6,17.15,0.05,53.28,0,25,0.0,0,52.0,0,1,0,0
1104,0.0118933296726098,0.0121437692059312,0.0116094676011466,0.0231403181817986,0.0258228549129867,0.0288979096673955,-0.0133291955583749,0.0145758664037979,0.0176509211582067,-0.0245761840675637,-0.0031157828989231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.9,0.24,5.15,1218.0,12.0,0.0,6.0,5.31,654.0,374.0,0.0,0.0,0.01,0.0,0.0,0.0,12.0,13.0,1.0,0.0,6.0,378.0,94.69,24220.3,0.75,0.0,0.0,1.07,258.51,0.0,0.16,0.0,190093,0.73,98.2,0,386801,10.33,0,10.78,873144,1759289,8384,128704,445531,5.12,-4149,512,3.73,18.44,2675954,14379398,11.04,251196,8.42,3.84,4.55,4.55,21109811,8.68,3.89,29.22,0,48880,191382,1545651,353707,-91175,12098283,787183,107.88,5092388,24.95,26.76,3280857,5493715,0.48,0,0,0,0,65.93,2,27.38,24.16,0.0,49.48,0,22.22,0.0,0,50.0,0,1,0,0
1108,0.0183973035609657,0.0132731650177311,0.0171627467415805,0.0154439820870104,0.0284014737253559,0.0398724239832748,0.0552862048681183,0.0313547951993112,0.0428257454572302,0.0582395263420736,0.0017490323767806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.5,0.05,12.04,2635.0,-34.0,0.0,-1.0,12.04,405.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,0.0,5.0,0.0,-1.0,-34.0,87.93,30396.31,2.6,0.0,0.03,0.0,0.0,0.0,0.0,0.0,410629,0.96,40.75,0,266474,11.2,420000,13.18,-71795,859575,0,-68492,3701474,2.26,267941,820,11.32,19.37,1518167,4330697,101.22,116492,20.8,4.75,5.61,5.61,3294612,9.32,1.23,11.52,40000,0,84033,641112,248085,-630999,530318,368302,151.08,3626578,48.64,9.12,1882891,5479064,0.73,-1335,0,0,0,4.18,2,48.43,3.95,0.01,2.15,0,28.57,0.0,0,31.0,0,1,0,0
1109,0.0069857551104084,0.0104828098512253,0.0193978154942023,0.0194127487236751,0.0225837415058121,0.024071531344445,0.0439328781180946,0.0101567478925454,0.0116445377311783,0.0315058845048279,-0.0038562181980481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.1,0.08,23.8,1623.0,13.0,1.0,2.0,24.7,342.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,2.0,23.0,75.3,32508.53,1.9,0.0,0.0,0.0,0.0,0.0,0.91,0.0,1022361,0.91,248.41,-2878,3290546,5.51,0,13.99,-113900,960910,9233,130641,1048301,2.56,-285179,13180,45.98,19.44,2420609,6787846,21.59,163797,73.14,4.14,7.56,7.56,4978843,1.23,2.1,14.16,0,0,22366,99787,420469,-164279,4143031,950274,299.12,2223545,19.98,3.8,3004875,6651002,0.0,73800,0,0,0,19.99,0,18.94,36.22,0.0,15.99,0,16.67,0.0,0,30.0,0,1,0,0
1110,-0.0123363020308679,-0.0136486185229232,-0.0159750194935489,-0.0257141373704459,0.0031900470704995,0.0087566438681884,0.0075070166753675,0.0165678824100775,0.0221344792077664,0.0208848520149455,0.0019245137340392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.45,0.2,22.81,4863.0,209.0,0.0,2.0,22.81,572.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,5.0,0.0,0.0,2.0,266.0,77.18,97770.62,3.4,0.0,0.01,0.1,100.53,5.0,0.0,0.0,-5248,1.34,43.54,-12185,242085,117.65,0,-3.13,501626,256746,39,-49225,946987,-0.99,-70134,928,-0.3,6.06,706894,11325600,14.06,69133,0.0,5.02,1.01,1.01,9260635,4.69,-0.77,-5.09,0,0,574580,899709,-23516,-102037,2032573,223558,111.43,1737332,23.55,-4.82,752511,1935982,0.43,0,0,0,0,83.85,12,35.52,34.67,1.13,64.1,0,0,0.0,0,27.0,0,1,0,0
1201,0.0184707908459623,0.0077326699795242,0.0258256858911684,0.0298885591453153,0.0544534699455684,0.0583479743994917,0.0884460238663956,0.0430357016462153,0.0469302061001387,0.0770282555670426,0.0012990809926333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,0.22,24.13,2457.0,214.0,9.0,4.0,24.6,506.0,544.0,0.0,0.0,0.0,0.0,0.0,1.0,223.0,1.0,0.0,9.0,2.0,380.0,75.28,54905.6,1.94,0.0,0.12,0.04,22.35,0.0,0.48,0.0,-42384,1.45,62.3,0,1660833,12.84,2744734,2.79,-199282,3019675,167549,86322,1625679,3.87,915816,8644,-0.53,28.28,6786509,10222452,65.7,2412970,20.45,6.7,2.48,2.48,11984143,0.8,1.47,2.48,0,100872,286362,4127572,263668,-502544,2165640,1909253,90.19,8012497,63.19,1.97,9463147,7226703,1.05,-2126,0,0,0,3.8,4,34.13,14.55,0.01,1.4,0,0,0.0,0,59.0,0,1,0,0
1203,0.0056591659358134,0.0079621735153042,0.0184962448850467,0.0218384319020219,0.0374451176293459,0.0423286111621005,0.0484469917492527,0.0212658516631374,0.026149345195892,0.0322677257830442,-0.0017624492448624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.01,23.81,122.0,-8.0,0.0,-1.0,23.81,240.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-1.0,-8.0,76.19,3996.22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153224,1.55,109.03,-38464,1486819,8.26,0,14.56,47221,527501,54246,32922,1616710,5.7,-330797,7567,7.16,30.19,2174929,8064000,35.36,486992,32.38,12.57,3.27,3.27,4923185,3.37,3.65,15.11,0,4135,90612,1435942,453727,31825,2581692,517751,220.38,2140409,37.1,10.22,3115648,4716929,0.76,62070,0,0,0,28.8,0,39.47,28.67,0,18.12,0,20.0,0.0,0,57.0,0,1,0,0
1210,0.006751852757024,0.0071014335899892,0.0154094418319142,0.028392129069864,0.0555215315133284,0.0709088138863656,0.0992593567516835,0.0338812552004884,0.0492685375735256,0.0776190804388435,0.0017342639012106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0.18,30.83,1848.0,-142.0,-16.0,-5.0,36.55,852.0,-1470.0,0.0,113.0,0.01,0.0,113.0,-2.0,-45.0,22.0,0.0,-20.0,-5.0,-1362.0,63.45,96188.4,0.87,1.0,0.01,1.19,1145.1,0.0,1.48,4.23,-1183750,2.02,46.59,-219132,5568167,18.01,1241969,2.65,1643634,8630965,147653,226346,10310236,5.51,2125665,52412,-3.74,10.2,47282825,40520160,67.63,3979442,20.21,13.03,3.15,4.21,31188050,13.18,2.58,3.12,0,71205,923679,2523388,1393190,-1893772,6319584,6706413,97.92,31644533,54.95,2.49,52655457,30987105,0.72,437023,0,0,0,18.81,1,21.93,12.98,0.02,8.47,0,16.67,0,0,43.0,0,1,0,0
