id,bp,,,
1101,1.16,,,
1102,0.9,,,
1103,0.55,,,
1104,0.72,,,
1108,0.96,,,
1109,0.73,,,
1110,1.2,,,
1201,1.34,,,
1203,1.52,,,
1210,1.83,,,
1213,1.06,,,
1215,2.75,,,
1216,3.01,,,
1217,0.78,,,
1218,3.24,,,
1219,1.43,,,
1220,1.21,,,
1225,3.63,,,
1227,2.13,,,
1229,2.12,,,
1231,3.39,,,
1232,4.95,,,
1233,2.1,,,
1234,0.73,,,
1235,2.36,,,
1236,0.8,,,
1256,2.4,,,
1301,1.54,,,
1303,1.59,,,
1304,0.97,,,
1305,1.38,,,
1307,0.99,,,
1308,1.23,,,
1309,1.22,,,
1310,1.11,,,
1312,0.56,,,
1313,0.68,,,
1314,0.48,,,
1315,0.65,,,
1316,1.01,,,
1319,1.24,,,
1321,1.25,,,
1323,1.25,,,
1324,0.84,,,
1325,0.74,,,
1326,1.28,,,
1337,0.38,,,
1338,0.59,,,
1339,0.85,,,
1340,0.32,,,
1341,2.64,,,
1342,4.05,,,
1402,0.82,,,
1409,0.82,,,
1410,2.57,,,
1413,1.05,,,
1414,1.28,,,
1416,0.55,,,
1417,1.02,,,
1418,0.68,,,
1419,1.03,,,
1423,0.93,,,
1432,1.5,,,
1434,0.77,,,
1436,1.72,,,
1437,0.75,,,
1438,1.41,,,
1439,0.87,,,
1440,1.04,,,
1441,1.17,,,
1442,2.42,,,
1443,1.76,,,
1444,0.9,,,
1445,1.33,,,
1446,2.89,,,
1447,0.7,,,
1451,0.59,,,
1452,0.9,,,
1453,1.34,,,
1454,1.01,,,
1455,0.87,,,
1456,1.02,,,
1457,0.83,,,
1459,0.98,,,
1460,0.74,,,
1463,1.09,,,
1464,1.05,,,
1465,0.85,,,
1466,0.78,,,
1467,0.9,,,
1468,1.65,,,
1470,1.68,,,
1471,1.27,,,
1472,2.6,,,
1473,0.86,,,
1474,0.73,,,
1475,4.48,,,
1476,5.24,,,
1477,3.9,,,
1503,1.16,,,
1504,0.79,,,
1506,2.27,,,
1512,3.1,,,
1513,2.52,,,
1514,2.01,,,
1515,1.67,,,
1516,1.76,,,
1517,1.33,,,
1519,3.06,,,
1521,1.54,,,
1522,1.13,,,
1524,1.75,,,
1525,0.95,,,
1526,1.91,,,
1527,1.27,,,
1528,0.82,,,
1529,1.63,,,
1530,0.94,,,
1531,0.68,,,
1532,0.87,,,
1533,1.97,,,
1535,1.55,,,
1536,2.41,,,
1537,2.63,,,
1538,3.17,,,
1539,1.27,,,
1540,1,,,
1541,1.36,,,
1558,1.4,,,
1560,3.05,,,
1568,1.62,,,
1582,1.31,,,
1583,1.35,,,
1587,1.11,,,
1589,0.73,,,
1590,5.18,,,
1597,2.77,,,
1598,1.35,,,
1603,0.74,,,
1604,1.16,,,
1605,1.45,,,
1608,0.94,,,
1609,1.39,,,
1611,1.16,,,
1612,0.77,,,
1614,1.72,,,
1615,1.8,,,
1616,0.91,,,
1617,1.11,,,
1618,0.66,,,
1626,0.75,,,
1701,0.87,,,
1702,1.2,,,
1707,2.47,,,
1708,1.56,,,
1709,1.42,,,
1710,1.41,,,
1711,1.24,,,
1712,2.04,,,
1713,1.48,,,
1714,0.67,,,
1717,1.58,,,
1718,0.53,,,
1720,1.91,,,
1721,1.26,,,
1722,1.04,,,
1723,3.37,,,
1725,0.97,,,
1726,1.21,,,
1727,2.1,,,
1730,2.03,,,
1731,1.24,,,
1732,2.71,,,
1733,1.42,,,
1734,1.73,,,
1735,1.01,,,
1736,2.78,,,
1737,1.01,,,
1752,1.65,,,
1760,6.84,,,
1762,1.48,,,
1773,3.83,,,
1776,1.17,,,
1783,2.73,,,
1786,2.28,,,
1789,1.88,,,
1795,4.79,,,
1802,1.39,,,
1805,1.89,,,
1806,0.67,,,
1808,4.41,,,
1809,0.76,,,
1810,0.96,,,
1817,1.34,,,
1903,2.88,,,
1904,1.1,,,
1905,1.22,,,
1906,0.59,,,
1907,0.81,,,
1909,0.87,,,
2002,1.36,,,
2006,1.38,,,
2007,0.79,,,
2008,1.32,,,
2009,2.7,,,
2010,0.93,,,
2012,1.51,,,
2013,2.29,,,
2014,1.94,,,
2015,1.89,,,
2017,1.02,,,
2020,1.65,,,
2022,1.16,,,
2023,0.94,,,
2024,1.47,,,
2025,1,,,
2027,1.13,,,
2028,1.93,,,
2029,0.81,,,
2030,1.22,,,
2031,1.4,,,
2032,1.43,,,
2033,1.08,,,
2034,1.19,,,
2038,1.02,,,
2049,1.97,,,
2059,2.68,,,
2062,0.61,,,
2069,0.79,,,
2101,2.71,,,
2102,2.01,,,
2103,1.21,,,
2104,0.58,,,
2105,1.36,,,
2106,1.43,,,
2107,0.63,,,
2108,1.31,,,
2109,1.33,,,
2114,2.7,,,
2115,0.97,,,
2201,1.3,,,
2204,0.87,,,
2206,1.69,,,
2207,6.85,,,
2208,1.71,,,
2211,1.06,,,
2227,3.31,,,
2228,1.54,,,
2231,4.69,,,
2233,1.77,,,
2236,0.83,,,
2239,0.68,,,
2241,1.89,,,
2243,1.05,,,
2247,1.49,,,
2250,1.32,,,
2301,1.89,,,
2302,1.72,,,
2303,1.8,,,
2305,2.55,,,
2308,4.35,,,
2312,1.17,,,
2313,1.66,,,
2314,4.7,,,
2316,0.59,,,
2317,1.01,,,
2321,2.36,,,
2323,0.52,,,
2324,0.8,,,
2327,1.71,,,
2328,1.64,,,
2329,1.5,,,
2330,4.66,,,
2331,1.08,,,
2332,1.04,,,
2337,1.26,,,
2338,5.19,,,
2340,1.95,,,
2342,2.44,,,
2344,0.96,,,
2345,7.96,,,
2347,1.45,,,
2348,1.7,,,
2349,0.92,,,
2351,3.05,,,
2352,1.39,,,
2353,1.12,,,
2354,0.74,,,
2355,0.82,,,
2356,1.45,,,
2357,0.95,,,
2358,1.05,,,
2359,0.9,,,
2360,4.02,,,
2362,0.44,,,
2363,0.97,,,
2364,9.17,,,
2365,0.78,,,
2367,1.17,,,
2368,3.59,,,
2369,0.99,,,
2371,1.53,,,
2373,2.41,,,
2374,1.02,,,
2375,0.72,,,
2376,2.04,,,
2377,2.18,,,
2379,3.59,,,
2380,2.55,,,
2382,1.7,,,
2383,3.03,,,
2385,1.71,,,
2387,0.91,,,
2388,2.81,,,
2390,0.95,,,
2392,0.79,,,
2393,0.92,,,
2395,6.1,,,
2397,2.15,,,
2399,1.11,,,
2401,1.6,,,
2402,0.98,,,
2404,3.6,,,
2405,1.25,,,
2406,1.56,,,
2408,0.95,,,
2409,0.63,,,
2412,2.34,,,
2413,1.89,,,
2414,1.69,,,
2415,1.26,,,
2417,1.07,,,
2419,1.69,,,
2420,1.72,,,
2421,2.44,,,
2423,1.55,,,
2424,3.73,,,
2425,1.32,,,
2426,1.36,,,
2427,0.94,,,
2428,1.81,,,
2429,1.84,,,
2430,1.08,,,
2431,0.81,,,
2433,1.77,,,
2434,2.07,,,
2436,2.76,,,
2438,1.38,,,
2439,1.63,,,
2440,1.27,,,
2441,1.41,,,
2442,0.89,,,
2443,1.36,,,
2444,1.51,,,
2449,1.29,,,
2450,1.31,,,
2451,1.49,,,
2453,1.3,,,
2454,2.76,,,
2455,4.78,,,
2457,2.49,,,
2458,3.01,,,
2459,1.1,,,
2460,1.24,,,
2461,1.04,,,
2462,1.56,,,
2464,1.71,,,
2465,3.66,,,
2466,3.1,,,
2467,2.35,,,
2468,1.95,,,
2471,1.59,,,
2472,1.41,,,
2474,0.74,,,
2476,1.68,,,
2478,1.03,,,
2480,3.01,,,
2481,1.83,,,
2482,1.88,,,
2483,1.07,,,
2484,1.48,,,
2485,0.95,,,
2486,1.29,,,
2488,1.03,,,
2489,0.59,,,
2491,1.39,,,
2492,0.96,,,
2493,1.89,,,
2495,1.39,,,
2496,1.13,,,
2497,5.24,,,
2498,1.83,,,
2501,0.76,,,
2504,1.3,,,
2505,0.77,,,
2506,0.46,,,
2509,0.76,,,
2511,0.69,,,
2514,0.58,,,
2515,0.57,,,
2516,0.74,,,
2520,0.85,,,
2524,0.76,,,
2527,0.64,,,
2528,1.32,,,
2530,1.56,,,
2534,0.88,,,
2535,1.12,,,
2536,0.65,,,
2537,0.53,,,
2538,0.91,,,
2539,2.35,,,
2540,3.37,,,
2542,1.58,,,
2543,0.81,,,
2545,1.15,,,
2546,1.61,,,
2547,0.76,,,
2548,1.27,,,
2597,4.18,,,
2601,0.67,,,
2603,0.62,,,
2605,0.71,,,
2606,1.17,,,
