"Date","Price","Open","High","Low","Change %"
"Dec 30, 2022","1.335","1.335","1.335","1.335","0.00%"
"Dec 29, 2022","1.335","1.335","1.335","1.335","0.00%"
"Dec 28, 2022","1.335","1.310","1.335","1.310","1.91%"
"Dec 27, 2022","1.310","1.210","1.310","1.210","8.26%"
"Dec 26, 2022","1.210","1.210","1.210","1.210","0.00%"
"Dec 23, 2022","1.210","1.250","1.275","1.210","-3.20%"
"Dec 22, 2022","1.250","1.235","1.250","1.235","1.21%"
"Dec 21, 2022","1.235","1.275","1.275","1.235","-3.14%"
"Dec 20, 2022","1.275","1.215","1.275","1.215","4.94%"
"Dec 19, 2022","1.215","1.215","1.215","1.215","-1.62%"
"Dec 16, 2022","1.235","1.275","1.275","1.235","-3.14%"
"Dec 15, 2022","1.275","1.275","1.275","1.275","0.00%"
"Dec 14, 2022","1.275","1.290","1.290","1.275","-1.16%"
"Dec 13, 2022","1.290","1.295","1.295","1.290","-0.39%"
"Dec 12, 2022","1.295","1.295","1.295","1.295","0.86%"
"Dec 09, 2022","1.284","1.250","1.284","1.250","2.72%"
"Dec 08, 2022","1.250","1.250","1.250","1.250","-1.19%"
"Dec 07, 2022","1.265","1.365","1.365","1.265","-7.33%"
"Dec 06, 2022","1.365","1.355","1.365","1.355","0.74%"
"Dec 05, 2022","1.355","1.355","1.355","1.355","-2.87%"
"Dec 02, 2022","1.395","1.395","1.395","1.395","-4.12%"
"Dec 01, 2022","1.455","1.495","1.495","1.455","-2.68%"
"Nov 30, 2022","1.495","1.475","1.495","1.475","1.36%"
"Nov 29, 2022","1.475","1.475","1.475","1.475","0.00%"
"Nov 28, 2022","1.475","1.485","1.485","1.475","-0.67%"
"Nov 25, 2022","1.485","1.490","1.490","1.485","-0.34%"
"Nov 24, 2022","1.490","1.490","1.490","1.490","-2.30%"
"Nov 23, 2022","1.525","1.575","1.575","1.525","-3.17%"
"Nov 22, 2022","1.575","1.595","1.595","1.575","-1.25%"
"Nov 21, 2022","1.595","1.595","1.595","1.595","-0.62%"
"Nov 18, 2022","1.605","1.605","1.605","1.605","0.63%"
"Nov 17, 2022","1.595","1.595","1.595","1.595","-4.78%"
"Nov 16, 2022","1.675","1.685","1.685","1.675","-0.59%"
"Nov 15, 2022","1.685","1.695","1.695","1.685","-0.59%"
"Nov 14, 2022","1.695","1.695","1.695","1.695","2.42%"
"Nov 11, 2022","1.655","1.775","1.775","1.655","-6.76%"
"Nov 10, 2022","1.775","1.794","1.794","1.775","-1.06%"
"Nov 09, 2022","1.794","1.814","1.814","1.794","-1.10%"
"Nov 08, 2022","1.814","1.805","1.814","1.805","0.50%"
"Nov 07, 2022","1.805","1.794","1.805","1.794","0.61%"
"Nov 04, 2022","1.794","1.794","1.794","1.794","0.50%"
"Nov 03, 2022","1.785","1.785","1.785","1.785","1.71%"
"Nov 02, 2022","1.755","1.755","1.755","1.755","0.00%"
